identity/LineItemId,identity/TimeInterval,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/UsageAmount,lineItem/UnblendedCost,lineItem/BlendedCost,lineItem/LineItemType,product/region,resourceTags/user:Service,resourceTags/user:Team,resourceTags/user:Env
68accfa6-8fc5-0171-0892-5c76e2348adf,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,21.5559,9.999715,10.381861,Usage,us-east-1,,,prod
b5c660fe-9572-f19c-7b92-1348f53606d5,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,13.8539,8.672878,8.68075,Usage,us-east-1,,,prod
70b02af5-456f-c782-b223-dc3511b6b912,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,11.109,9.635512,9.31464,Usage,us-east-1,,,prod
f50f24fe-f5c8-7f5a-627a-69225f708f5f,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,9.0879,10.768154,10.945976,Usage,us-east-1,,,prod
db76d8dc-3433-1471-a1d4-a2a5a697afdb,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,1.5674,9.393625,9.847095,Usage,us-east-1,,,prod
0dec40a0-fd63-6ad5-d934-7ddf8589644f,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,9.3266,8.926893,9.021408,Usage,us-east-1,,,prod
c082c843-4360-ce17-146e-67130f70ac0c,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,9.1748,11.284291,10.989947,Usage,us-east-1,,,prod
123eeb2a-83fe-4993-7d7c-5c6d3d7130d2,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,2.1609,10.782118,10.803554,Usage,us-east-1,,,prod
b9d23632-61bc-b3cd-1620-ed551b17d1de,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,21.2826,10.134945,9.758107,Usage,us-east-1,,,prod
48d33624-420c-c4bc-bceb-06a6f59d9b03,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,12.5758,10.641267,10.411069,Usage,us-east-1,,,prod
669828f7-4566-2aa8-fe3a-4b302ea39189,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,21.1474,864.650926,851.031864,Usage,us-east-1,,,prod
7acf5f5d-5ee8-d4b4-302b-dbd31b0bb5f1,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,6.3315,10.408806,10.31083,Usage,us-east-1,,,prod
ee26558a-0982-ad0b-f894-45d075bbddd4,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,17.7361,11.201038,11.356511,Usage,us-east-1,,,prod
1400d88c-c3be-aafa-3c49-3a4f056c8b59,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,8.8651,9.428354,8.971128,Usage,us-east-1,,,prod
d6181e2c-5b2b-0b19-a9a6-da3262e6026a,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,11.1351,10.969536,10.70898,Usage,us-east-1,,,prod
692821d2-695e-373e-8b39-6ca734c20ff7,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,7.8202,9.320258,9.196784,Usage,us-east-1,,,prod
74b683cc-5e03-6841-b2e7-202dcb5c4ec7,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,22.3252,10.090391,10.504045,Usage,us-east-1,,,prod
16a17dec-cb35-6b8c-753a-ccf81647b8ea,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,21.7204,9.59139,9.139666,Usage,us-east-1,,,prod
5a24d410-8459-06dd-cf1b-0d65f558e1a5,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,4.9138,9.581827,9.327771,Usage,us-east-1,,,prod
52a0bb33-07e4-9acc-138b-fc5fda9a90dd,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,7.2194,9.894178,10.279235,Usage,us-east-1,,,prod
c6b41886-1cce-9899-5881-a8ebb8b1e6cf,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,5.0278,8.84204,8.967583,Usage,us-east-1,,,prod
2380ea29-343b-8a13-1c5d-6e1d03c7f249,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,15.4214,776.571298,777.194798,Usage,us-east-1,,,prod
a161ae90-b614-f107-bae0-e4b6b4589b71,2026-02-19T00:00:00Z/2026-02-20T00:00:00Z,2026-02-19T00:00:00Z,2026-02-20T00:00:00Z,AmazonEC2,Other,RunInstances,13.4241,9.489773,9.813433,Usage,us-east-1,,,prod
4a210ca7-f868-6873-aa25-703f88494618,2026-02-19T00:00:00Z/2026-02-20T00:00:00Z,2026-02-19T00:00:00Z,2026-02-20T00:00:00Z,AmazonEC2,Other,RunInstances,23.3859,10.670166,11.147589,Usage,us-east-1,,,prod
822b8ada-9b00-e857-f7ad-a2c4a65d4925,2026-02-19T00:00:00Z/2026-02-20T00:00:00Z,2026-02-19T00:00:00Z,2026-02-20T00:00:00Z,AmazonEC2,Other,RunInstances,19.2338,10.340658,10.733156,Usage,us-east-1,,,prod
c97e9192-c456-e890-5dcd-ea869122775c,2026-02-19T00:00:00Z/2026-02-20T00:00:00Z,2026-02-19T00:00:00Z,2026-02-20T00:00:00Z,AmazonEC2,Other,RunInstances,8.9954,9.134711,9.003018,Usage,us-east-1,,,prod
