identity/LineItemId,identity/TimeInterval,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/UsageAmount,lineItem/UnblendedCost,lineItem/BlendedCost,lineItem/LineItemType,product/region,resourceTags/user:Service,resourceTags/user:Team,resourceTags/user:Env
7de08f55-e2f1-bf36-084b-1b0e27fa057c,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,19.2857,2.090506,2.166832,Usage,us-east-1,,,prod
2b5391dd-2a37-01ba-01d3-13d359539b4b,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,1.2159,2.136378,2.138356,Usage,us-east-1,,,prod
227ec289-cd24-c91c-3522-d1309ea3682a,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,6.6827,2.054559,2.055154,Usage,us-east-1,,,prod
cf29e758-e999-bd80-f66d-f77bcd175f19,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,1.1595,46.953942,46.898972,Usage,us-east-1,,,prod
812b6af3-3ba1-c910-c234-ab26934e878c,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,4.2109,2.505129,2.422398,Usage,us-east-1,,,prod
cc07cd06-259e-a28c-5cc3-9a7fa77a2eeb,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,8.3893,2.160535,2.06135,Usage,us-east-1,,,prod
0eff059b-3e47-ff1c-1d53-758a255867fd,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,21.6122,2.292102,2.316078,Usage,us-east-1,,,prod
a379294b-09df-e276-035e-121dcbb2a885,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,1.4055,42.560101,43.90948,Usage,us-east-1,,,prod
842665e1-40f9-4094-7e43-a19395bcd9a5,2026-02-19T00:00:00Z/2026-02-20T00:00:00Z,2026-02-19T00:00:00Z,2026-02-20T00:00:00Z,AmazonEC2,Other,RunInstances,14.7468,2.101327,2.058412,Usage,us-east-1,,,prod
16e59471-2d98-3327-7dbd-780dd5d70fa6,2026-02-19T00:00:00Z/2026-02-20T00:00:00Z,2026-02-19T00:00:00Z,2026-02-20T00:00:00Z,AmazonEC2,Other,RunInstances,3.448,2.327359,2.293986,Usage,us-east-1,,,prod
